id,stock_code,stock_name,oss_url,is_key_polluters,full_name,人工结果,自动化和人工对比结果
51625,603579,荣泰健康,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/荣泰健康/1206078913.PDF,不适用,上海荣泰健康科技股份有限公司,不适用,相同
44284,300213,佳讯飞鸿,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/佳讯飞鸿/1205957460.PDF,不适用,北京佳讯飞鸿电气股份有限公司,不适用,相同
43853,600095,哈高科,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/哈高科/1205924421.PDF,不适用,哈尔滨高科技(集团)股份有限公司,不适用,相同
52531,600209,*ST罗顿,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/*ST罗顿/1206114221.PDF,不适用,罗顿发展股份有限公司,不适用,相同
41576,600765,中航重机,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中航重机/1205845579.PDF,不适用,中航重机股份有限公司,适用,不相同
43988,601608,中信重工,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/中信重工/1205938351.PDF,不适用,中信重工机械股份有限公司,不适用,相同
52179,600892,大晟文化,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/大晟文化/1206102619.PDF,不适用,大晟时代文化投资股份有限公司,不适用,相同
51490,600143,金发科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/金发科技/1206069869.PDF,不适用,金发科技股份有限公司,适用,不相同
44503,002202,金风科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/金风科技/1205967167.PDF,适用,新疆金风科技股份有限公司,适用,相同
52636,002120,韵达股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/韵达股份/1206118366.PDF,不适用,韵达控股股份有限公司,不适用,相同
50975,002321,华英农业,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/华英农业/1206042127.PDF,适用,河南华英农业发展股份有限公司,适用,相同
52716,002692,远程股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/远程股份/1206167598.PDF,不适用,远程电缆股份有限公司,不适用,相同
52716,002692,远程股份,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/远程股份/1206167598.PDF,不适用,睿康文远电缆股份有限公司,不适用,相同
44990,603169,兰石重装,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/兰石重装/1206014997.PDF,不适用,兰州兰石重型装备股份有限公司,不适用,相同
51816,300566,激智科技,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/激智科技/1206090601.PDF,不适用,宁波激智科技股份有限公司,不适用,相同
43687,000628,高新发展,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/高新发展/1205901540.PDF,不适用,成都高新发展股份有限公司,不适用,相同
44155,603955,大千生态,https://ipo-company.oss-cn-hangzhou.aliyuncs.com/ list_company_annonce/大千生态/1205948540.PDF,不适用,大千生态环境集团股份有限公司,不适用,相同
